timestamp,interaction_step,episodic_reward,episode_intervention,intervention_rate,policy_freq_hz,policy_freq_90p_hz,is_success,rolling_success_rate_50,rolling_intervention_rate_50,rolling_policy_only_success_20,episode_length,episode_intervention_steps,termination_reason
53.8,4500,0.0000,0,0.0000,10.0,9.5,0,0.3111,0.6444,0.3750,67,0,done_other
55.1,4600,0.0000,0,0.0000,10.0,9.5,0,0.3043,0.6304,0.3529,95,0,timeout
56.4,4700,0.0000,0,0.0000,10.0,9.5,0,0.2979,0.6170,0.3333,74,0,done_other
57.7,4800,1.0000,1,0.6024,10.0,9.5,1,0.3125,0.6250,0.3333,83,50,success
59.0,4900,1.0000,1,0.6145,10.0,9.5,1,0.3265,0.6327,0.3333,83,51,success
60.3,5000,0.0000,1,0.2111,10.0,9.5,0,0.3200,0.6400,0.3333,90,19,done_other
61.6,5100,0.0000,0,0.0000,10.0,9.5,0,0.3200,0.6200,0.3158,71,0,done_other
62.9,5200,1.0000,0,0.0000,10.0,9.5,1,0.3400,0.6000,0.3500,71,0,success
64.2,5300,1.0000,0,0.0000,10.0,9.5,1,0.3600,0.5800,0.3500,66,0,success
65.5,5400,1.0000,0,0.0000,10.0,9.5,1,0.3600,0.5800,0.4000,79,0,success
66.9,5500,1.0000,0,0.0000,10.0,9.5,1,0.3800,0.5600,0.4500,64,0,success
68.2,5600,1.0000,0,0.0000,10.0,9.5,1,0.4000,0.5400,0.5000,79,0,success
69.5,5700,0.0000,0,0.0000,10.0,9.5,0,0.4000,0.5200,0.4500,61,0,done_other
70.8,5800,0.0000,0,0.0000,10.0,9.5,0,0.3800,0.5000,0.4500,71,0,done_other
72.1,5900,1.0000,0,0.0000,10.0,9.5,1,0.4000,0.4800,0.5000,95,0,success
